|-------+----------------------+--------+---------|
|  rank | name                 | solved | recent  |
|  279  | judaplus             | 127    | 1435    |
|  280  | huntxu               | 127    | 1127    |
|  281  | minqiang             | 127    | 1080    |
|  282  | candyfeline          | 127    | 955     |
|  283  | Eastsun              | 127    | 763     |
|  284  | chuzm15              | 127    | 399     |
|  285  | (XupingYao)          | 127    | 219     |
|  286  | leapforlove          | 126    | 2171    |
|  287  | Roowe                | 126    | 2143    |
|  288  | whuawell             | 126    | 934     |
|  289  | Miku_chousuki        | 126    | 78      |
|  290  | fuwutu               | 125    | 1703    |
|  291  | forresty             | 125    | 1228    |
|  292  | chenminqi            | 125    | 792     |
|  293  | (547826947)          | 125    | 528     |
|  294  | guoheng              | 124    | 1926    |
|  295  | (liuq901)            | 124    | 1759    |
|  296  | Bephbin              | 124    | 614     |
|  297  | (huangyunict)        | 124    | 282     |
|  298  | (sfiction)           | 124    | 116     |
|  299  | xuanyan              | 123    | 464     |
|  300  | leojay               | 122    | 1968    |
|  301  | riku_in_japan        | 122    | 1437    |
|  302  | HyperGroups          | 122    | 690     |
|  303  | (FTYYY)              | 122    | 229     |
|  304  | Ro.C.yR              | 121    | 1839    |
|  305  | Chongkai             | 121    | 1586    |
|  306  | slipper_l            | 121    | 734     |
|  307  | (__Andy)             | 121    | 723     |
|  308  | qdzcslj              | 120    | 3612    |
|  309  | ncuww                | 120    | 2786    |
|  310  | ljz                  | 120    | 2777    |
|  311  | huangcd              | 120    | 2221    |
|  312  | dgg32                | 120    | 2133    |
|  313  | monad                | 120    | 1689    |
|  314  | (laysent)            | 120    | 495     |
|  315  | xw_y_am              | 120    | 303     |
|  316  | (ProjectYoung)       | 120    | 260     |
|  317  | 1400011786           | 120    | 53      |
|  318  | qwertybilly          | 119    | 3611    |
|  319  | dsyin                | 119    | 1868    |
|  320  | PhyFrancis           | 119    | 955     |
|  321  | (xinix)              | 119    | 917     |
|  322  | Protoss              | 119    | 32      |
|  323  | zball                | 119    | 22      |
|  324  | winxos               | 118    | 3119    |
|  325  | laughinging          | 118    | 458     |
|  326  | wavellite            | 117    | 3581    |
|  327  | Greentie             | 117    | 2246    |
|  328  | taorunz              | 117    | 1160    |
|  329  | sittingbull          | 117    | 104     |
|  330  | daiwb                | 116    | 3039    |
|  331  | shiinamashiro        | 116    | 971     |
|  332  | (kangpengpeng)       | 116    | 244     |
|  333  | (shenlei)            | 116    | 25      |
|  334  | mayka.i.truba        | 115    | 1748    |
|  335  | bistole              | 115    | 1605    |
|  336  | zechac               | 115    | 86      |
|  337  | chencc               | 114    | 3405    |
|  338  | mitcc                | 114    | 1576    |
|  339  | yellowriver          | 114    | 1091    |
|  340  | .sjtu-lyj            | 114    | 680     |
|  341  | zfhammer             | 114    | 450     |
|  342  | easymath3            | 113    | 1688    |
|  343  | cylixstar            | 113    | 1456    |
|  344  | SilverBullet         | 113    | 1207    |
|  345  | (Nithouson)          | 113    | 174     |
|  346  | vvee99               | 113    | 106     |
|  347  | zjx20                | 112    | 2468    |
|  348  | huangkan             | 112    | 1599    |
|  349  | akarin               | 112    | 1255    |
|  350  | (707481877)          | 112    | 1145    |
|  351  | zhoufeng512          | 112    | 568     |
|  352  | thnt                 | 112    | 169     |
|  353  | NiklausMikaelson     | 112    | 130     |
|  354  | Honeypot             | 111    | 3041    |
|  355  | nickcen              | 111    | 1908    |
|  356  | (ralphjessie)        | 111    | 1698    |
|  357  | (eddyxu)             | 111    | 582     |
|  358  | cherichy             | 111    | 552     |
|  359  | quietsmile           | 111    | 497     |
|  360  | s251258132           | 111    | 30      |
|  361  | syb9258              | 111    | 24      |
|  362  | JeffG                | 110    | 3517    |
|  363  | cnbuff410            | 110    | 1895    |
|  364  | (longwosion)         | 110    | 1621    |
|  365  | Peeeee               | 110    | 936     |
|  366  | wandering            | 110    | 291     |
|  367  | xl                   | 109    | 2534    |
|  368  | allensong95          | 109    | 1642    |
|  369  | belanov              | 109    | 1392    |
|  370  | guanyishu            | 109    | 564     |
|  371  | flyee                | 109    | 546     |
|  372  | petitfish            | 109    | 1       |
|  373  | yanzixiang           | 108    | 3363    |
|  374  | xingjianan           | 108    | 3326    |
|  375  | meridional           | 108    | 1526    |
|  376  | hulucc               | 108    | 1226    |
|  377  | fjin                 | 108    | 844     |
|  378  | sunt05               | 108    | 799     |
|  379  | XiaoTaoWang          | 108    | 381     |
|  380  | (sel-fish)           | 108    | 30      |
|  381  | wftao1995            | 108    | 13      |
|  382  | xjlinyueru           | 107    | 2659    |
|  383  | huzza                | 107    | 1910    |
|  384  | AcrossTheSky         | 107    | 1170    |
|  385  | magic331             | 107    | 529     |
|  386  | yejianye             | 106    | 3039    |
|  387  | Mei.Xuelan           | 106    | 2059    |
|  388  | xiekaixuan           | 106    | 980     |
|  389  | huangshenno1         | 106    | 857     |
|  390  | Puzzled              | 106    | 788     |
|  391  | haryseldon           | 106    | 301     |
|  392  | Andy_Li              | 106    | 133     |
|  393  | ul0402206            | 105    | 2680    |
|  394  | valwang              | 105    | 2399    |
|  395  | guangge77            | 105    | 1731    |
|  396  | gcd0318              | 105    | 1403    |
|  397  | (gedt11)             | 105    | 724     |
|  398  | hongyan              | 105    | 517     |
|  399  | bloodwolf            | 105    | 268     |
|  400  | cpy                  | 105    | 120     |
|  401  | lidaobing            | 104    | 3615    |
|  402  | Alel                 | 104    | 2782    |
|  403  | yangsx               | 104    | 2701    |
|  404  | MiceBiteWood         | 104    | 2033    |
|  405  | citaret              | 104    | 1851    |
|  406  | tanghuanan           | 104    | 1700    |
|  407  | Erutan               | 104    | 1640    |
|  408  | (wzw)                | 104    | 1460    |
|  409  | anxinguo             | 104    | 196     |
|  410  | txguo                | 103    | 3206    |
|  411  | dementrock           | 103    | 2420    |
|  412  | Mr.WireDancer        | 103    | 2077    |
|  413  | LeavittZhang         | 103    | 2060    |
|  414  | onceloved            | 103    | 1311    |
|  415  | (levyliao)           | 103    | 521     |
|  416  | lijunkang            | 103    | 216     |
|  417  | mr_delphi            | 102    | 1947    |
|  418  | oinil                | 102    | 1388    |
|  419  | iLang                | 102    | 1381    |
|  420  | Tain                 | 102    | 1136    |
|  421  | hikean               | 102    | 894     |
|  422  | caoyi0905            | 102    | 877     |
|  423  | justin03             | 102    | 345     |
|  424  | dongbing             | 102    | 317     |
|  425  | huizew               | 102    | 279     |
|  426  | D_Tesla              | 102    | 26      |
|  427  | mothing              | 101    | 2548    |
|  428  | yanlingevol          | 101    | 1802    |
|  429  | alpc62               | 101    | 1738    |
|  430  | stoundmire           | 101    | 1369    |
|  431  | yun_sun              | 101    | 1256    |
|  432  | (ivoryxiong)         | 101    | 1083    |
|  433  | yang_bigarm          | 101    | 681     |
|  434  | kapok                | 101    | 448     |
|  435  | rabbit_lb            | 101    | 392     |
|  436  | wdztyang             | 101    | 355     |
|  437  | chehou               | 101    | 152     |
|  438  | (289728525)          | 101    | 40      |
|  439  | amadeoh              | 100    | 2855    |
|  440  | riobard              | 100    | 2783    |
|  441  | jessicasco           | 100    | 2525    |
|  442  | yessit               | 100    | 2405    |
|  443  | Fred Lin             | 100    | 2384    |
|  444  | windmisses           | 100    | 2377    |
|  445  | yeah1900             | 100    | 2116    |
|  446  | DUANBELIEVE          | 100    | 2069    |
|  447  | meye                 | 100    | 1985    |
|  448  | Hooloong             | 100    | 1913    |
|  449  | Fandi                | 100    | 1830    |
