|-------+----------------------------------+--------+---------|
|  rank | name                             | solved | recent  |
|  315  | kogumamisha                      | 109    | 2165    |
|  316  | mcU3bWAV                         | 109    | 1322    |
|  317  | saki                             | 109    | 902     |
|  318  | ryochan                          | 109    | 269     |
|  319  | yamatchan                        | 108    | 1403    |
|  320  | kazutanaka                       | 108    | 1322    |
|  321  | okaduki                          | 108    | 1089    |
|  322  | ma0001                           | 107    | 2929    |
|  323  | tatsuyafw                        | 107    | 2535    |
|  324  | takane                           | 107    | 2357    |
|  325  | qfa                              | 107    | 1959    |
|  326  | yowa                             | 107    | 1812    |
|  327  | wotsushi                         | 107    | 1260    |
|  328  | matsulib                         | 107    | 1258    |
|  329  | mirac                            | 107    | 530     |
|  330  | tjake                            | 107    | 440     |
|  331  | njellyfish                       | 107    | 328     |
|  332  | pora_myodra                      | 106    | 1297    |
|  333  | ryo.i                            | 106    | 64      |
|  334  | ichyet                           | 105    | 3473    |
|  335  | nineties                         | 105    | 2677    |
|  336  | pgf2                             | 105    | 2442    |
|  337  | naoki.kp                         | 105    | 1803    |
|  338  | piyoko_212                       | 105    | 1047    |
|  339  | yz                               | 104    | 3480    |
|  340  | DA_BOSE                          | 104    | 2877    |
|  341  | lispest                          | 104    | 2111    |
|  342  | fluffyowl                        | 104    | 1754    |
|  343  | skobayas                         | 104    | 1724    |
|  344  | Susisu                           | 104    | 1268    |
|  345  | Suzaku                           | 104    | 1241    |
|  346  | jame_sparker                     | 104    | 468     |
|  347  | stmasa2016                       | 104    | 340     |
|  348  | nishinojunji                     | 104    | 51      |
|  349  | k87                              | 104    | 0       |
|  350  | jun-s                            | 103    | 3773    |
|  351  | mshkh                            | 103    | 3430    |
|  352  | wand125                          | 103    | 2390    |
|  353  | zono244                          | 103    | 2233    |
|  354  | gnatpj0614                       | 103    | 975     |
|  355  | d_nishiyama                      | 103    | 623     |
|  356  | UmeyaMann                        | 103    | 485     |
|  357  | hellowd                          | 103    | 219     |
|  358  | namakemono                       | 103    | 178     |
|  359  | s10d                             | 102    | 2876    |
|  360  | kogecoo                          | 102    | 1834    |
|  361  | soukana                          | 102    | 1557    |
|  362  | takaiy                           | 102    | 1148    |
|  363  | joll                             | 102    | 349     |
|  364  | zinc                             | 101    | 3617    |
|  365  | yutaka_j                         | 101    | 2286    |
|  366  | nomnel                           | 101    | 2235    |
|  367  | 213R                             | 101    | 1901    |
|  368  | sys979                           | 101    | 1710    |
|  369  | keiji-mu                         | 101    | 590     |
|  370  | snuf_kin                         | 101    | 214     |
|  371  | tknob3                           | 101    | 2       |
|  372  | fumi                             | 100    | 3481    |
|  373  | m_Phantom                        | 100    | 3480    |
|  374  | taichiu                          | 100    | 3002    |
|  375  | shnya                            | 100    | 2666    |
|  376  | termat                           | 100    | 2657    |
|  377  | yuta25                           | 100    | 2530    |
|  378  | (INATA)                          | 100    | 2378    |
|  379  | kanensei                         | 100    | 2260    |
|  380  | matsuta                          | 100    | 1906    |
|  381  | battamon                         | 100    | 1887    |
|  382  | hotpepsi                         | 100    | 1806    |
|  383  | mikami                           | 100    | 1431    |
|  384  | (rhyean8)                        | 100    | 1420    |
|  385  | okanonet                         | 100    | 1177    |
|  386  | Zauberer                         | 100    | 993     |
|  387  | yama                             | 100    | 492     |
|  388  | schwarznecken                    | 100    | 333     |
|  389  | (asattely)                       | 100    | 176     |
|  390  | tsutomu                          | 99     | 3280    |
|  391  | solitary7bd                      | 99     | 1968    |
|  392  | seto                             | 99     | 1570    |
|  393  | yskcon                           | 99     | 1542    |
|  394  | maeshiro                         | 99     | 281     |
|  395  | 1tk                              | 98     | 3753    |
|  396  | xy_nak_jl                        | 98     | 392     |
|  397  | dryaemon                         | 98     | 222     |
|  398  | mokos                            | 97     | 3478    |
|  399  | condotti                         | 97     | 3309    |
|  400  | suppy193                         | 97     | 538     |
|  401  | isato                            | 96     | 2738    |
|  402  | tanzaku                          | 96     | 1355    |
|  403  | norisuke                         | 96     | 699     |
|  404  | yuzupom                          | 96     | 592     |
|  405  | huwakun                          | 96     | 62      |
|  406  | electrolysis                     | 95     | 3411    |
|  407  | mi-chang                         | 95     | 3335    |
|  408  | subaru                           | 95     | 3269    |
|  409  | hs484                            | 95     | 1803    |
|  410  | catindog                         | 95     | 943     |
|  411  | mayoko                           | 95     | 518     |
|  412  | narita                           | 95     | 269     |
|  413  | dshiota                          | 95     | 135     |
|  414  | expajp                           | 95     | 21      |
|  415  | wanson                           | 94     | 3286    |
|  416  | t-uchida                         | 94     | 2796    |
|  417  | takfjt                           | 94     | 2551    |
|  418  | na2hiro                          | 94     | 1686    |
|  419  | muupan                           | 94     | 1577    |
|  420  | onigiri11235                     | 94     | 532     |
|  421  | kawasaki                         | 94     | 199     |
|  422  | kono                             | 94     | 196     |
|  423  | mena_nann                        | 94     | 122     |
|  424  | tomicchie                        | 93     | 1909    |
|  425  | vineyoshi                        | 93     | 966     |
|  426  | E869120                          | 93     | 717     |
|  427  | lotz                             | 93     | 632     |
|  428  | hogehoge                         | 93     | 530     |
|  429  | Szigeta                          | 93     | 99      |
|  430  | supiar17                         | 92     | 3265    |
|  431  | folsena                          | 92     | 2346    |
|  432  | _iota                            | 92     | 1698    |
|  433  | kajibo                           | 92     | 1608    |
|  434  | asi1024                          | 92     | 562     |
|  435  | napaa                            | 92     | 180     |
|  436  | (ref4d)                          | 92     | 108     |
|  437  | Konno_Ryo                        | 92     | 67      |
|  438  | perfec                           | 91     | 3514    |
|  439  | miyabiarts                       | 91     | 2641    |
|  440  | nagatomutu                       | 91     | 2620    |
