|-------+-------------+--------+--------------------------------------------------------------------|
|  rank | id          | solved | last_solved                                                        |
|-------+-------------+--------+--------------------------------------------------------------------|
|  1=   | id_115989_  | 600+   | utomaya last solved a problem 5 days ago                           |
|  143  | id_1197834_ | 160    | kurikuri999 last solved a problem 291 days ago                     |
|  144  | id_408663_  | 158    | 2ndmk2 last solved a problem 1686 days ago                         |
|  145  | id_172415_  | 157    | trinitrotoluene last solved a problem 1452 days ago                |
|  146  | id_656071_  | 157    | takonoashi last solved a problem 763 days ago                      |
|  147  | id_1034516_ | 157    | deltacat last solved a problem 55 days ago                         |
|  148  | id_244893_  | 157    | (utmath) last solved a problem 4 days ago                          |
|  149  | id_32784_   | 156    | foota last solved a problem 2995 days ago                          |
|  150  | id_651784_  | 156    | mei_narou last solved a problem 324 days ago                       |
|  151  | id_1164569_ | 156    | altnelico1 last solved a problem 63 days ago                       |
|  152  | id_66172_   | 155    | yatt last solved a problem 2025 days ago                           |
|  153  | id_113245_  | 155    | taiji last solved a problem 2003 days ago                          |
|  154  | id_33185_   | 154    | peanutsjamjam last solved a problem 1914 days ago                  |
|  155  | id_621529_  | 154    | zawisha last solved a problem 89 days ago                          |
|  156  | id_868403_  | 154    | hidetakak2 last solved a problem 2 days ago                        |
|  157  | id_205420_  | 153    | nogz last solved a problem 2677 days ago                           |
|  158  | id_57379_   | 153    | pprk last solved a problem 2569 days ago                           |
|  159  | id_52283_   | 153    | shimizu1950 last solved a problem 2535 days ago                    |
|  160  | id_781790_  | 152    | makkin-2 last solved a problem 613 days ago                        |
|  161  | id_81242_   | 152    | todo last solved a problem 90 days ago                             |
|  162  | id_56325_   | 151    | katsu33 last solved a problem 2028 days ago                        |
|  163  | id_892142_  | 151    | arkhe last solved a problem 532 days ago                           |
|  164  | id_66951_   | 151    | noriok last solved a problem 61 days ago                           |
|  165  | id_167611_  | 150    | shuyo last solved a problem 2825 days ago                          |
|  166  | id_105704_  | 150    | takayuki last solved a problem 2779 days ago                       |
|  167  | id_183732_  | 150    | hm00061 last solved a problem 2722 days ago                        |
|  168  | id_417321_  | 150    | nisshy last solved a problem 1278 days ago                         |
|  169  | id_951727_  | 150    | fooractal last solved a problem 452 days ago                       |
|  170  | id_40597_   | 148    | masaaki last solved a problem 1744 days ago                        |
|  171  | id_781711_  | 148    | (pute293) last solved a problem 1131 days ago                      |
|  172  | id_165297_  | 148    | itchyny last solved a problem 942 days ago                         |
|  173  | id_132643_  | 148    | kinjo.yukari last solved a problem 603 days ago                    |
|  174  | id_307003_  | 148    | clotz.sugar last solved a problem 255 days ago                     |
|  175  | id_351782_  | 147    | kyunkyun last solved a problem 1523 days ago                       |
|  176  | id_29730_   | 146    | nobsun last solved a problem 2568 days ago                         |
|  177  | id_399215_  | 146    | magickmaster last solved a problem 1718 days ago                   |
|  178  | id_1065542_ | 146    | akipom last solved a problem 211 days ago                          |
|  179  | id_616558_  | 146    | TakahisaC7 last solved a problem 184 days ago                      |
|  180  | id_424483_  | 145    | mune.k last solved a problem 1639 days ago                         |
|  181  | id_503369_  | 145    | tounai last solved a problem 1422 days ago                         |
|  182  | id_373700_  | 145    | leafmoon last solved a problem 1030 days ago                       |
|  183  | id_311812_  | 145    | maehrm last solved a problem 790 days ago                          |
|  184  | id_27833_   | 145    | kei10in last solved a problem 754 days ago                         |
|  185  | id_330557_  | 145    | srd7 last solved a problem 683 days ago                            |
|  186  | id_566814_  | 145    | Yuichiroh last solved a problem 296 days ago                       |
|  187  | id_27707_   | 144    | 186 last solved a problem 2692 days ago                            |
|  188  | id_861861_  | 144    | kimit last solved a problem 997 days ago                           |
|  189  | id_88209_   | 144    | xyz600 last solved a problem 354 days ago                          |
|  190  | id_36530_   | 143    | lpocean last solved a problem 2613 days ago                        |
|  191  | id_419344_  | 143    | (mikeCAT) last solved a problem 1330 days ago                      |
|  192  | id_31282_   | 142    | senna last solved a problem 3498 days ago                          |
|  193  | id_226736_  | 142    | (NokubiTadaharu) last solved a problem 2099 days ago               |
|  194  | id_1021815_ | 141    | oteru50 last solved a problem 70 days ago                          |
|  195  | id_27078_   | 140    | okagawa last solved a problem 2601 days ago                        |
|  196  | id_146648_  | 140    | masahiroakiko last solved a problem 2556 days ago                  |
|  197  | id_251850_  | 140    | ksmakoto last solved a problem 2449 days ago                       |
|  198  | id_63444_   | 140    | lynx last solved a problem 953 days ago                            |
|  199  | id_23756_   | 140    | kyomei last solved a problem 465 days ago                          |
|  200  | id_625678_  | 139    | penetole last solved a problem 1332 days ago                       |
|  201  | id_1079342_ | 139    | Keno42 last solved a problem 557 days ago                          |
|  202  | id_1269097_ | 139    | jyokun last solved a problem 128 days ago                          |
|  203  | id_142304_  | 138    | tarumi last solved a problem 1371 days ago                         |
|  204  | id_258215_  | 137    | riktor last solved a problem 2141 days ago                         |
|  205  | id_140298_  | 137    | gifnksm last solved a problem 1099 days ago                        |
|  206  | id_287481_  | 136    | alpicola last solved a problem 2141 days ago                       |
|  207  | id_629855_  | 136    | yasmat last solved a problem 1071 days ago                         |
|  208  | id_82346_   | 136    | (zeppeki) last solved a problem 758 days ago                       |
|  209  | id_39352_   | 134    | nase last solved a problem 2829 days ago                           |
|  210  | id_282724_  | 134    | whitypig last solved a problem 2333 days ago                       |
|  211  | id_372109_  | 134    | okazaki last solved a problem 2024 days ago                        |
|  212  | id_34047_   | 133    | deep_blue last solved a problem 2804 days ago                      |
|  213  | id_470466_  | 133    | take4310 last solved a problem 1851 days ago                       |
|  214  | id_332328_  | 133    | norio last solved a problem 1435 days ago                          |
|  215  | id_330193_  | 133    | 61mg last solved a problem 1012 days ago                           |
|  216  | id_211134_  | 132    | koshian2 last solved a problem 2612 days ago                       |
|  217  | id_94131_   | 132    | Koi last solved a problem 611 days ago                             |
|  218  | id_951699_  | 132    | tomori_nyao last solved a problem 494 days ago                     |
|  219  | id_420720_  | 132    | y.nishida last solved a problem 299 days ago                       |
|  220  | id_207514_  | 131    | echizen_tm last solved a problem 2607 days ago                     |
|  221  | id_161955_  | 131    | tcptr last solved a problem 2147 days ago                          |
|  222  | id_89220_   | 131    | machy last solved a problem 1788 days ago                          |
|  223  | id_1233078_ | 131    | todaemon last solved a problem 238 days ago                        |
|  224  | id_130715_  | 131    | t5tmy last solved a problem 72 days ago                            |
|  225  | id_129905_  | 130    | hoge last solved a problem 3091 days ago                           |
|  226  | id_268531_  | 130    | Kouichi_Nakagawa last solved a problem 1402 days ago               |
|  227  | id_275671_  | 130    | wataken44 last solved a problem 1277 days ago                      |
|  228  | id_900339_  | 130    | pekempey last solved a problem 144 days ago                        |
|  229  | id_27058_   | 129    | schrodin last solved a problem 3400 days ago                       |
|  230  | id_496753_  | 129    | DENAM last solved a problem 1538 days ago                          |
|  231  | id_175705_  | 129    | ksato last solved a problem 1437 days ago                          |
|  232  | id_294800_  | 128    | tkyjhr last solved a problem 2349 days ago                         |
|  233  | id_144200_  | 128    | corbeaux last solved a problem 2328 days ago                       |
|  234  | id_419104_  | 128    | hnw last solved a problem 799 days ago                             |
|  235  | id_433052_  | 128    | hadrori last solved a problem 732 days ago                         |
|  236  | id_729195_  | 128    | hide8 last solved a problem 412 days ago                           |
|  237  | id_421067_  | 128    | TangentDay last solved a problem 335 days ago                      |
|  238  | id_100607_  | 127    | khammer last solved a problem 3023 days ago                        |
|  239  | id_55537_   | 127    | eoi last solved a problem 2402 days ago                            |
|  240  | id_224787_  | 127    | mugenen last solved a problem 1803 days ago                        |
|  241  | id_492683_  | 127    | choyotaura last solved a problem 1246 days ago                     |
|  242  | id_473100_  | 127    | z_kro last solved a problem 1128 days ago                          |
|  243  | id_337042_  | 127    | hiromi_ayase last solved a problem 575 days ago                    |
|  244  | id_1124877_ | 127    | (taijin0721) last solved a problem 380 days ago                    |
|  245  | id_786847_  | 127    | kosakkun last solved a problem 276 days ago                        |
|  246  | id_36031_   | 126    | hachimura last solved a problem 3285 days ago                      |
|  247  | id_28441_   | 126    | osa_k last solved a problem 1422 days ago                          |
|  248  | id_648488_  | 126    | xy_nak_hs last solved a problem 1021 days ago                      |
|  249  | id_483163_  | 126    | haseguwa last solved a problem 265 days ago                        |
|  250  | id_713144_  | 126    | (ProjectSeagull) last solved a problem 21 days ago                 |
|  251  | id_63151_   | 125    | yabuki last solved a problem 562 days ago                          |
|  252  | id_328247_  | 125    | komkom3141 last solved a problem 515 days ago                      |
|  253  | id_498118_  | 125    | kazushi last solved a problem 62 days ago                          |
|  254  | id_48344_   | 124    | soz0345hooky last solved a problem 3273 days ago                   |
|  255  | id_174442_  | 124    | dton last solved a problem 2595 days ago                           |
|  256  | id_140128_  | 124    | fvbb431 last solved a problem 996 days ago                         |
|  257  | id_359817_  | 124    | aquazul last solved a problem 356 days ago                         |
|  258  | id_374217_  | 123    | mamekin last solved a problem 2119 days ago                        |
|  259  | id_903937_  | 123    | nagaoka last solved a problem 147 days ago                         |
|  260  | id_98340_   | 122    | key last solved a problem 2988 days ago                            |
|  261  | id_272357_  | 122    | AMIO last solved a problem 964 days ago                            |
|  262  | id_124328_  | 121    | likr last solved a problem 2290 days ago                           |
|  263  | id_313589_  | 121    | fujiwara last solved a problem 1258 days ago                       |
|  264  | id_281711_  | 120    | pinefield last solved a problem 2299 days ago                      |
|  265  | id_215921_  | 120    | caesark last solved a problem 1214 days ago                        |
|  266  | id_36597_   | 120    | AtsushiNagaoka last solved a problem 396 days ago                  |
|  267  | id_1267487_ | 120    | bQKuAy26 last solved a problem 127 days ago                        |
|  268  | id_27734_   | 119    | odz last solved a problem 3570 days ago                            |
|  269  | id_99818_   | 119    | masahiro.sakai last solved a problem 3065 days ago                 |
|  270  | id_368225_  | 119    | tnoda last solved a problem 1886 days ago                          |
|  271  | id_12176_   | 118    | ogahide last solved a problem 2347 days ago                        |
|  272  | id_66748_   | 118    | yoshimoto last solved a problem 1865 days ago                      |
|  273  | id_402039_  | 118    | tasusu last solved a problem 1738 days ago                         |
|  274  | id_268879_  | 118    | nishi6 last solved a problem 1326 days ago                         |
|  275  | id_255785_  | 118    | x2357 last solved a problem 1265 days ago                          |
|  276  | id_575836_  | 118    | rabbit_TR last solved a problem 432 days ago                       |
|  277  | id_266539_  | 117    | qrrakakh last solved a problem 2133 days ago                       |
|  278  | id_383969_  | 117    | kinoh last solved a problem 2071 days ago                          |
|  279  | id_165290_  | 117    | kroton last solved a problem 1891 days ago                         |
|  280  | id_136738_  | 116    | nissingeppo last solved a problem 2193 days ago                    |
|  281  | id_541189_  | 116    | ttu_hs last solved a problem 1581 days ago                         |
|  282  | id_373652_  | 116    | maesiro last solved a problem 1441 days ago                        |
|  283  | id_743023_  | 116    | Koshin last solved a problem 529 days ago                          |
|  284  | id_27952_   | 116    | TetsuyaIzu last solved a problem 348 days ago                      |
|  285  | id_170916_  | 115    | patterl last solved a problem 2866 days ago                        |
|  286  | id_89616_   | 115    | kinketu last solved a problem 1692 days ago                        |
|  287  | id_621769_  | 115    | szxnkl last solved a problem 1367 days ago                         |
|  288  | id_28538_   | 114    | suroyuu last solved a problem 3593 days ago                        |
|  289  | id_34071_   | 114    | phji last solved a problem 3549 days ago                           |
|  290  | id_139589_  | 114    | tkhiguchi last solved a problem 2599 days ago                      |
|  291  | id_645061_  | 114    | Toyoashihara last solved a problem 521 days ago                    |
|  292  | id_186075_  | 114    | hogeover30 last solved a problem 273 days ago                      |
|  293  | id_109449_  | 113    | kyouso last solved a problem 2964 days ago                         |
|  294  | id_125884_  | 113    | pudeyuki last solved a problem 2878 days ago                       |
|  295  | id_245609_  | 113    | IMOKURI last solved a problem 1577 days ago                        |
|  296  | id_429967_  | 113    | ktaobo last solved a problem 1558 days ago                         |
|  297  | id_626596_  | 113    | (root16) last solved a problem 97 days ago                         |
|  298  | id_735900_  | 113    | noppo last solved a problem 94 days ago                            |
|  299  | id_90167_   | 112    | hmakino last solved a problem 3316 days ago                        |
|  300  | id_78322_   | 112    | unagi last solved a problem 2974 days ago                          |
|  301  | id_37096_   | 112    | ichirin last solved a problem 2784 days ago                        |
|  302  | id_72314_   | 112    | tos.lunar last solved a problem 2645 days ago                      |
|  303  | id_254019_  | 112    | miki16g last solved a problem 1152 days ago                        |
|  304  | id_1095429_ | 112    | osushi last solved a problem 84 days ago                           |
|  305  | id_27479_   | 110    | dahui last solved a problem 3680 days ago                          |
|  306  | id_190423_  | 110    | smat last solved a problem 2406 days ago                           |
|  307  | id_203715_  | 110    | hata last solved a problem 1858 days ago                           |
|  308  | id_206370_  | 110    | aki_rubix last solved a problem 1612 days ago                      |
|  309  | id_113246_  | 110    | gtom last solved a problem 1592 days ago                           |
|  310  | id_619625_  | 110    | tosan1984 last solved a problem 1545 days ago                      |
|  311  | id_171543_  | 110    | msylw last solved a problem 1390 days ago                          |
|  312  | id_29282_   | 110    | yuizumi last solved a problem 536 days ago                         |
|  313  | id_461841_  | 110    | plonk last solved a problem 505 days ago                           |
|  314  | id_1223659_ | 110    | rydia001 last solved a problem 58 days ago                         |
|  315  | id_201391_  | 109    | kogumamisha last solved a problem 2165 days ago                    |
|  316  | id_370374_  | 109    | mcU3bWAV last solved a problem 1322 days ago                       |
|  317  | id_279265_  | 109    | saki last solved a problem 902 days ago                            |
|  318  | id_331154_  | 109    | ryochan last solved a problem 269 days ago                         |
|  319  | id_143232_  | 108    | yamatchan last solved a problem 1403 days ago                      |
|  320  | id_63538_   | 108    | kazutanaka last solved a problem 1322 days ago                     |
|  321  | id_171636_  | 108    | okaduki last solved a problem 1089 days ago                        |
|  322  | id_67097_   | 107    | ma0001 last solved a problem 2929 days ago                         |
|  323  | id_178797_  | 107    | tatsuyafw last solved a problem 2535 days ago                      |
|  324  | id_274156_  | 107    | takane last solved a problem 2357 days ago                         |
|  325  | id_226192_  | 107    | qfa last solved a problem 1959 days ago                            |
|  326  | id_28026_   | 107    | yowa last solved a problem 1812 days ago                           |
|  327  | id_405049_  | 107    | wotsushi last solved a problem 1260 days ago                       |
|  328  | id_425844_  | 107    | matsulib last solved a problem 1258 days ago                       |
|  329  | id_30863_   | 107    | mirac last solved a problem 530 days ago                           |
|  330  | id_476262_  | 107    | tjake last solved a problem 440 days ago                           |
|  331  | id_433993_  | 107    | njellyfish last solved a problem 328 days ago                      |
|  332  | id_402121_  | 106    | pora_myodra last solved a problem 1297 days ago                    |
|  333  | id_1185040_ | 106    | ryo.i last solved a problem 64 days ago                            |
|  334  | id_69500_   | 105    | ichyet last solved a problem 3473 days ago                         |
|  335  | id_189975_  | 105    | nineties last solved a problem 2677 days ago                       |
|  336  | id_30495_   | 105    | pgf2 last solved a problem 2442 days ago                           |
|  337  | id_88236_   | 105    | naoki.kp last solved a problem 1803 days ago                       |
|  338  | id_540832_  | 105    | piyoko_212 last solved a problem 1047 days ago                     |
|  339  | id_32077_   | 104    | yz last solved a problem 3480 days ago                             |
|  340  | id_140191_  | 104    | DA_BOSE last solved a problem 2877 days ago                        |
|  341  | id_31465_   | 104    | lispest last solved a problem 2111 days ago                        |
|  342  | id_399368_  | 104    | fluffyowl last solved a problem 1754 days ago                      |
|  343  | id_90636_   | 104    | skobayas last solved a problem 1724 days ago                       |
|  344  | id_168563_  | 104    | Susisu last solved a problem 1268 days ago                         |
|  345  | id_373033_  | 104    | Suzaku last solved a problem 1241 days ago                         |
|  346  | id_975855_  | 104    | jame_sparker last solved a problem 468 days ago                    |
|  347  | id_982843_  | 104    | stmasa2016 last solved a problem 340 days ago                      |
|  348  | id_88306_   | 104    | nishinojunji last solved a problem 51 days ago                     |
|  349  | id_1344267_ | 104    | k87 last solved a problem within the past day                      |
|  350  | id_28990_   | 103    | jun-s last solved a problem 3773 days ago                          |
|  351  | id_66170_   | 103    | mshkh last solved a problem 3430 days ago                          |
|  352  | id_152714_  | 103    | wand125 last solved a problem 2390 days ago                        |
|  353  | id_336020_  | 103    | zono244 last solved a problem 2233 days ago                        |
|  354  | id_237549_  | 103    | gnatpj0614 last solved a problem 975 days ago                      |
|  355  | id_696159_  | 103    | d_nishiyama last solved a problem 623 days ago                     |
|  356  | id_1007866_ | 103    | UmeyaMann last solved a problem 485 days ago                       |
|  357  | id_467600_  | 103    | hellowd last solved a problem 219 days ago                         |
|  358  | id_191598_  | 103    | namakemono last solved a problem 178 days ago                      |
|  359  | id_61537_   | 102    | s10d last solved a problem 2876 days ago                           |
|  360  | id_84029_   | 102    | kogecoo last solved a problem 1834 days ago                        |
|  361  | id_590694_  | 102    | soukana last solved a problem 1557 days ago                        |
|  362  | id_214629_  | 102    | takaiy last solved a problem 1148 days ago                         |
|  363  | id_458014_  | 102    | joll last solved a problem 349 days ago                            |
|  364  | id_39355_   | 101    | zinc last solved a problem 3617 days ago                           |
|  365  | id_290569_  | 101    | yutaka_j last solved a problem 2286 days ago                       |
|  366  | id_320000_  | 101    | nomnel last solved a problem 2235 days ago                         |
|  367  | id_217808_  | 101    | 213R last solved a problem 1901 days ago                           |
