|-------+------------------+--------+---------|
|  rank | name             | solved | recent  |
|  339  | .sjtu-lyj        | 114    | 644     |
|  431  | yang_bigarm      | 101    | 646     |
|  131  | xiaoshua         | 180    | 650     |
|  562  | (calvinxiao)     | 84     | 652     |
|  301  | HyperGroups      | 122    | 655     |
|  116  | YiCyunSaBi       | 194    | 658     |
|  553  | Key_Wgh          | 85     | 661     |
|  79   | tifa             | 225    | 663     |
|  218  | mo_0820          | 146    | 677     |
|  263  | NBAFifa          | 131    | 681     |
|  199  | Junix            | 153    | 683     |
|  306  | (__Andy)         | 121    | 687     |
|  393  | (gedt11)         | 105    | 689     |
|  574  | jxyz123          | 83     | 689     |
|  123  | ctzsm            | 185    | 697     |
|  258  | (xieyh11)        | 132    | 699     |
|  305  | slipper_l        | 121    | 699     |
|  552  | wakemecn         | 85     | 713     |
|  119  | ftfish           | 188    | 723     |
|  156  | shenyang         | 167    | 725     |
|  282  | Eastsun          | 127    | 727     |
|  216  | knorthplay       | 147    | 750     |
|  386  | Puzzled          | 106    | 752     |
|  291  | chenminqi        | 125    | 757     |
|  588  | fizban007        | 82     | 757     |
|  375  | sunt05           | 108    | 763     |
|  148  | bjin             | 171    | 768     |
|  573  | (Jie_HU)         | 83     | 779     |
|  256  | waterret         | 133    | 782     |
|  587  | (saijie)         | 82     | 782     |
|  467  | (bigmortz)       | 96     | 786     |
|  228  | Amitabha         | 142    | 795     |
|  374  | fjin             | 108    | 809     |
|  480  | paroid           | 93     | 820     |
|  385  | huangshenno1     | 106    | 822     |
|  173  | brickgao         | 159    | 823     |
|  421  | caoyi0905        | 102    | 842     |
|  113  | cgy4ever         | 199    | 859     |
|  420  | hikean           | 102    | 859     |
|  466  | thinginitself    | 96     | 880     |
|  320  | (xinix)          | 119    | 882     |
|  255  | sdyy1990         | 133    | 888     |
|  287  | whuawell         | 126    | 899     |
|  362  | Peeeee           | 110    | 901     |
|  319  | PhyFrancis       | 119    | 919     |
|  281  | candyfeline      | 127    | 920     |
|  93   | mathyrl          | 209    | 925     |
|  146  | jameslao         | 172    | 927     |
|  329  | shiinamashiro    | 116    | 935     |
|  384  | xiekaixuan       | 106    | 944     |
|  586  | wanggen          | 82     | 947     |
|  450  | (nkzimmon)       | 100    | 953     |
|  109  | yshui            | 202    | 987     |
|  39   | taolei           | 306    | 991     |
|  572  | pierre200328     | 83     | 992     |
|  271  | (cwjcsu)         | 129    | 993     |
