|-------+---------------------+--------+---------|
|  rank | name                | solved | recent  |
|  479  | uglander            | 194    | 666     |
|  757  | pbyrnes             | 160    | 669     |
|  796  | tfb                 | 157    | 672     |
|  828  | michaellee94        | 155    | 674     |
|  698  | preciselymb         | 166    | 681     |
|  955  | ahood               | 147    | 684     |
|  51   | (Rapptz)            | 397    | 688     |
|  60   | jboeing             | 373    | 688     |
|  756  | Duelist             | 160    | 691     |
|  902  | Milric              | 151    | 693     |
|  283  | Mithander           | 231    | 694     |
|  496  | eulerShulgi2        | 190    | 699     |
|  402  | marvel2010          | 206    | 704     |
|  189  | mvaneerde           | 261    | 711     |
|  755  | smrq                | 160    | 712     |
|  247  | dbranscombe         | 242    | 715     |
|  110  | chempro             | 320    | 726     |
|  393  | wilsonmt            | 207    | 734     |
|  401  | ptarjan             | 206    | 737     |
|  697  | lisanke             | 166    | 737     |
|  368  | jrouse042           | 211    | 739     |
|  268  | stephen_weber       | 236    | 750     |
|  708  | Feryll              | 165    | 752     |
|  856  | DrMarkPugner        | 153    | 766     |
|  429  | (noah13)            | 202    | 767     |
|  778  | (steveburke)        | 158    | 769     |
|  188  | fergemann           | 261    | 771     |
|  654  | jaxl                | 170    | 777     |
|  754  | dclouti             | 160    | 782     |
|  198  | fahrenba            | 259    | 783     |
|  645  | (GlennHideaki)      | 171    | 783     |
|  386  | hbgolze             | 209    | 789     |
|  827  | naphren             | 155    | 789     |
|  473  | gaussian_integer    | 195    | 790     |
|  826  | puzzlepalace        | 155    | 797     |
|  901  | NateT               | 151    | 803     |
|  528  | JohnBP              | 185    | 806     |
|  535  | Steve496            | 184    | 808     |
|  227  | ipsin               | 249    | 821     |
|  72   | diffeqkid           | 357    | 829     |
|  169  | lkkoller            | 273    | 832     |
|  696  | m42a                | 166    | 834     |
|  256  | Dukkha              | 239    | 837     |
|  125  | mp1                 | 304    | 840     |
|  282  | koconnor            | 231    | 842     |
|  653  | Zot95               | 170    | 848     |
|  234  | frrad               | 246    | 849     |
